# Started Sun Apr 26 11:37:48 2026
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras,partition
8b742f85-4c12-494d-9894-cf330229bad1,float,dt-1,1,49.506911683841295,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
b07c45b3-3b5a-4d9f-916f-e56454c82e4a,float,dt-2,1,50.005671601453805,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
a2d6d48b-d2b5-4aee-9b64-7f6b92e3da4a,float,dt-3,1,50.56122757364155,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
11feed14-35fe-4687-beaa-9d80fafa5baf,float,dt-1,2,49.523344046711316,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
1f0064d2-339c-4f65-8898-caaf146c56fe,float,dt-2,2,49.98998914820938,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
886052e8-cb73-44aa-a8bd-498a030cdfeb,float,dt-3,2,50.48455762270213,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
116011a4-5b61-401a-b183-ffb0e51bc9b1,float,dt-1,3,49.529952788234986,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
bb130998-185b-4713-8b0c-5ecb540f84ca,float,dt-2,3,49.977597241907624,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
74348208-5483-4e3c-80e3-3303567ad81f,float,dt-3,3,50.4971005881039,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
e0e9d4ff-65b2-4812-bcf1-c245e8f5a68f,float,dt-1,4,49.503889643602896,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
fb53ec39-92dc-43bb-ac4e-b6056a713b92,float,dt-2,4,49.904353220428426,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
4326bf72-7e2b-424e-86a5-b64c0c7842d0,float,dt-3,4,50.48006749992006,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""disengaged"", ""belonging_sub"": ""disengaged""}",ground_truth
428475d2-fd88-46b5-b535-b4c4307fca65,float,dt-1,5,49.52199676093636,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""prepared"", ""belonging_sub"": ""prepared""}",ground_truth
07d21fc7-4dac-4ef3-a31e-e1690332c3c3,float,dt-2,5,49.95834444191005,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""prepared"", ""belonging_sub"": ""prepared""}",ground_truth
062a71fc-63e1-4793-bac9-44e96624efc9,float,dt-3,5,50.46648802115675,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""prepared"", ""belonging_sub"": ""prepared""}",ground_truth
a5ce37e4-8598-4a4f-a77d-d6a652ac32f8,float,dt-1,6,49.53092425238364,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""prepared"", ""belonging_sub"": ""prepared""}",ground_truth
fa5810fb-0b7c-41a5-8291-270bac74b0ed,float,dt-2,6,49.992669418071166,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""prepared"", ""belonging_sub"": ""prepared""}",ground_truth
c36ac09e-6637-42a8-baec-4e3e274c9396,float,dt-3,6,50.460020106264054,1.0,ground_truth,scalar,units,"{""health"": ""ideal"", ""belonging_main"": ""prepared"", ""belonging_sub"": ""prepared""}",ground_truth
