# Logger: CSVLogger | Started: Mon Oct 13 14:37:17 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras
engine-temp-1,engine-temp-1_0,1760380637.9562588,1760380637.9562588,1760380637.9562588,float,C,72.35283246398473,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_0,,1760380637.940886,1760380637.936249,float,km/h,50.0,missing,50.0,KalmanFilter,0.30303030303030304,True,reconstructed,SimulatedStream,{}
speed-1,speed-1_1,1760380638.940648,1760380638.940648,1760380638.940648,float,km/h,20.66998806631428,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_1,1760380638.940648,1760380638.940648,1760380638.940648,float,km/h,20.66998806631428,source,20.986641366543004,observed,0.9099840353678007,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_1,1760380638.9559436,1760380638.9559436,1760380638.9559436,float,C,70.19952646086463,source,,,,,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_0,1760380637.9562588,1760380637.9562588,1760380637.9562588,float,C,72.35283246398473,source,73.08813111131869,observed,0.8391608391608391,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_2,1760380639.9512603,1760380639.9512603,1760380639.9512603,float,km/h,20.47572390296732,source,,,,,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_2,,1760380639.9512603,1760380639.943156,float,C,60.220404782974214,missing,60.220404782974214,KalmanFilter,0.17679558011049723,True,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_3,1760380640.9504428,1760380640.9504428,1760380640.9504428,float,C,71.0530291823797,source,,,,,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_4,,1760380641.9465091,1760380641.943156,float,C,43.6761852179599,missing,43.6761852179599,KalmanFilter,0.03372681281618887,True,reconstructed,SimulatedStream,{}
speed-1,speed-1_3,1760380640.9509072,1760380640.9509072,1760380640.9509072,float,km/h,15.171055372388842,source,,,,,observed,SimulatedStream,{}
speed-1,speed-1_2,1760380639.9512603,1760380639.9512603,1760380639.9512603,float,km/h,20.47572390296732,source,19.58190500523726,observed,0.9124715591691607,False,reconstructed,SimulatedStream,{}
