# Started Sun Apr 26 11:11:54 2026
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras,partition
395a470b-275e-4ba6-bbac-1e9775b8d1de,float,speed-1,1777216314.7947304,80.13864814545695,1.0,validated,scalar,km/h,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""pending_entry""}",observed.validated
d4768def-3447-4ed0-a714-274fd8f39629,float,speed-1,1777216315.783201,79.94586711246178,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
7ab75fc2-2fe1-4c7f-a2f2-d3dc9a374038,float,engine-temp-1,1777216315.7986155,96.03379694048701,1.0,observed,scalar,C,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""pending_entry""}",observed
eee64350-e6c6-4d94-b5a9-3b943755b0ae,float,engine-temp-1,1777216316.799256,95.12974648935328,1.0,validated,scalar,C,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
499742bb-5800-4a23-a84f-354b7925c4e1,simulated,speed-1,1777216316.777643,79.77289990406308,1.0,reconstructed,unknown,,"{""interval"": 1.0, ""reconstruction_method"": ""KalmanFilter"", ""reconstruction_time"": 1777216316.9101205}",reconstructed
5a8ec661-66c0-430b-8503-c71d9bf3a4f3,float,speed-1,1777216317.7872374,80.43305677493527,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
c1d3fb9a-b77f-4ed0-a0ce-dab3bc32c95c,simulated,engine-temp-1,1777216317.78266,94.85584007650024,0.7410039016736755,reconstructed,unknown,,"{""interval"": 1.0, ""reconstruction_method"": ""KalmanFilter"", ""reconstruction_time"": 1777216317.9145722}",reconstructed
ab4544cb-ff28-40fa-892e-40cdcf96e15d,float,speed-1,1777216318.7932932,79.96979600354712,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
e0966e27-2167-41a1-8ae5-053b6cc3b2a3,float,engine-temp-1,1777216318.7932932,94.03021551603368,1.0,validated,scalar,C,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
492cd5ee-4099-4e33-9883-c98d5d508f55,float,engine-temp-1,1777216319.7981875,96.08349854878573,1.0,validated,scalar,C,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
9c864aae-e761-4f82-9598-3583da7caa53,float,speed-1,1777216319.799186,79.4851154230993,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
74156133-4f52-4246-960e-3c93acabf2a0,float,engine-temp-1,1777216320.7931452,97.22201944261734,1.0,validated,scalar,C,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
cf554692-6ae7-4af4-b3ca-9d42f29416fb,float,speed-1,1777216320.7931452,79.83049729809463,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
fede942c-a960-4ee0-98db-0ecc0988897d,float,speed-1,1777216321.7896123,80.40646934549312,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
67041f2f-dafe-450a-a4a2-88be90205b56,float,engine-temp-1,1777216321.7896123,94.52569168392587,1.0,validated,scalar,C,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
417eb367-4461-4ee3-a597-301014429f60,float,engine-temp-1,1777216322.7934637,94.26304115392269,1.0,validated,scalar,C,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
